batch_index,num_vectors,latency_s,workers_at_time
0,50,2.778814520999731,5
5,50,1.7167497119990003,5
6,50,1.652851445000124,5
7,50,1.1065940929984208,5
8,50,1.6190197020005144,5
9,50,1.5756797770009143,5
10,50,0.9701431690009485,5
11,50,1.6491428440021991,5
12,50,0.9996734950000246,5
13,50,1.1696114129990747,5
14,50,1.0672356100003526,5
15,50,1.0194788629996765,5
16,50,1.019785803000559,5
17,50,1.3452220129984198,5
18,50,0.8488079830021888,5
19,50,1.0627349550013605,5
20,50,0.8994121649993758,5
21,50,1.4524866069987183,5
22,50,1.0096386299992446,5
23,50,1.069784637002158,5
24,50,0.9472443449994898,5
25,50,0.9280321450023621,5
26,50,0.9212758829999075,5
27,50,0.8328929669987701,5
28,50,0.9943668449996039,5
29,50,1.015403912999318,5
30,50,1.1211553330031165,5
31,50,0.9151354730020103,5
32,50,0.922553598000377,5
33,50,0.8544829130005382,5
34,50,0.9791591289977077,5
35,50,1.0122479150013532,5
36,50,1.1217567509993387,5
37,50,0.872379660999286,5
38,50,0.8336961749992042,5
39,50,1.0519652639995911,5
40,50,0.8647911759981071,5
41,50,1.4580362099986814,5
42,50,1.125752789001126,5
43,50,1.4341179650000413,5
44,50,0.9487863360009214,5
45,50,0.9723641550008324,5
46,50,0.9910671800025739,5
47,50,0.848760819000745,5
48,50,0.9053599420003593,5
49,50,0.9140763100003824,5
50,50,1.1511054319998948,5
51,50,0.9873846320006123,5
52,50,1.0176836810023815,5
53,50,0.9147457729995949,5
54,50,1.0170604749982886,5
55,50,0.9410899239992432,5
56,50,1.1075677240005461,5
57,50,1.11025392800002,5
58,50,1.2225127710007655,5
59,50,0.9135920120024821,5
60,50,1.5518528190004872,5
61,50,0.9905530079995515,5
62,50,1.0158156670004246,5
63,50,0.9973306530009722,5
64,50,0.9277302509981382,5
65,50,0.9174455329994089,5
66,50,1.140986359998351,5
67,50,0.863495896999666,5
68,50,1.0462759920010285,5
69,50,1.1210217530024238,5
70,50,1.022745631998987,5
71,50,1.1203619490006531,5
72,50,1.426222152000264,5
73,50,1.0184684610030672,5
74,50,1.1227313739982492,5
75,50,1.0150006069998199,5
76,50,1.035925706000853,5
77,50,0.9001203260013426,5
78,50,1.0206122909985424,5
79,50,1.1176453420011967,5
80,50,0.9163170200008608,5
81,50,1.1244236250022368,5
82,50,1.0104316340002697,5
83,50,1.2601415600001928,5
84,50,0.9802620549999119,5
85,50,1.1211408810013381,5
86,50,1.0186715460004052,5
87,50,1.2331324280021363,5
88,50,0.9719313509995118,5
89,50,1.1536768970036064,5
90,50,1.127077716999338,5
91,50,1.0096799029997783,5
92,50,0.9156172479997622,5
93,50,1.3516555249989324,5
94,50,0.9312929100015026,5
95,50,0.9551227100018878,5
96,50,1.0392697019997286,5
97,50,0.9417026109986182,5
98,50,1.206978488000459,5
99,50,1.0043663529977493,5
100,50,1.1201178379997145,5
101,50,1.0185655749992293,5
102,50,0.9258158140000887,5
103,50,1.1108135860013135,5
104,50,1.2625095050025266,5
105,50,1.0778210839998792,5
106,50,1.0172305590022006,5
107,50,0.9154461139987689,5
108,50,0.9156732949995785,5
109,50,1.237959571997635,5
110,50,0.9991861060007068,5
111,50,1.0205189869993774,5
112,50,1.0140885900000285,5
113,50,1.034789875997376,5
114,50,1.0080089340008271,5
115,50,1.0035283750003146,5
116,50,0.9115229050003109,5
117,50,1.0221254269999918,5
118,50,1.21379777599941,5
119,50,1.6754881739980192,5
120,50,1.3321685139999317,5
121,50,1.2616021630019532,5
122,50,0.9131992359980359,5
123,50,1.0300775850009813,5
124,50,1.2462858840008266,5
125,50,1.2007923319979454,5
126,50,1.0747076719999313,5
127,50,0.953123114999471,5
128,50,1.0229662310011918,5
129,50,0.9075557430005574,5
130,50,1.2709911719975935,5
131,50,1.1211298199996236,5
132,50,1.0712249700009124,5
133,50,0.9663635779979813,5
134,50,1.0957259289971262,5
135,50,1.0962448099999165,5
136,50,1.1276891060006164,5
137,50,1.1168227790003584,5
138,50,0.9371952569999848,5
139,50,0.995586495999305,5
140,50,1.0206399550006608,5
141,50,1.0784061760023178,5
142,50,0.9573802740014798,5
143,50,1.015580602997943,5
144,50,0.9180269850003242,5
145,50,0.9098484290007036,5
146,50,1.2727319710029406,5
147,50,1.0180129439977463,5
148,50,0.8628922070020053,5
149,50,0.9124080660003528,5
150,50,0.908415893001802,5
151,50,0.9191435259999707,5
152,50,1.0663082950013631,5
153,50,0.9713551800014102,5
154,50,0.914035347999743,5
155,50,0.963255737999134,5
156,50,1.080435864001629,5
157,50,0.9190889660021639,5
158,50,0.9041841059988656,5
159,50,0.8184141759993508,5
160,50,1.011087368002336,5
161,50,0.9264731570001459,5
162,50,0.8678005959991424,5
163,50,0.8504717979994894,5
164,50,1.0140936649986543,5
165,50,1.0214656850002939,5
166,50,0.9097315270009858,5
167,50,1.017425573001674,5
168,50,1.0189124770004128,5
169,50,1.0168137489999935,5
170,50,0.9068497420012136,5
171,50,0.9234939950001717,5
172,50,0.8917970319998858,5
173,50,0.93874130200129,5
174,50,0.8409643260019948,5
175,50,0.8698642250019475,5
176,50,0.8343958320001548,5
177,50,0.9046360770007595,5
178,50,1.226941242999601,5
179,50,1.0265372690009826,5
180,50,1.0151230439987557,5
181,50,0.9309790129991597,5
182,50,0.8543945249984972,5
183,50,0.9586221860008663,5
184,50,0.910287889000756,5
185,50,1.0162692689991673,5
186,50,1.0306551220019173,5
187,50,1.0125023869986762,5
188,50,0.9715062949981075,5
189,50,1.0850013720009883,5
190,50,0.885532931999478,5
191,50,0.9154980000021169,5
192,50,0.9183415799998329,5
193,50,1.0185386550001567,5
194,50,1.0160862399970938,5
195,50,1.0223757690000639,5
